Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,ALD1AH1,KCNT2,HIGD1B,ALD1AH2,PDGFRB,CLDN5,CCL19,DCN,KCNJ8,VEGFC,IL1R1,TAGLN,MFSD2A,RARA,TMEM132C,ACKR1,RGS16,MECOM
64,1316,447936,565.5,5,6,0,2,2,0,2,7,0,0,12,3,1,0,0,0,4,0
65,1258,443650,448.9,3,0,0,1,12,0,1,5,0,3,8,0,0,1,0,0,0,0
66,3228,445389,350.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,1761,447354,447.7,2,3,1,1,10,0,2,7,3,0,6,12,0,0,1,0,0,0
68,1271,446586,406.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,888,445377,447.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1127,443875,332.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,2972,443815,174.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1023,448081,384.8,0,0,0,0,2,0,1,2,0,0,11,1,0,2,0,0,1,0
73,4758,447815,396.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
74,4036,444929,229.5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
75,1950,444516,417.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,2857,446766,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,844,445240,416.7,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
78,782,447909,351.8,1,0,0,1,6,0,0,6,0,1,5,0,0,0,0,0,0,0
79,1217,444708,406.2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1215,444260,343.9,1,3,0,1,12,0,0,2,0,0,4,0,0,1,0,0,0,0
81,1763,448103,380.4,0,1,0,0,17,1,0,1,4,1,0,12,0,1,0,0,1,0
82,2196,444979,430.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3373,443570,319.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,1346,444775,230.9,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0
85,812,446028,388.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3746,446157,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,906,447864,389.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0
88,3749,444933,388.1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
89,3942,444235,430.1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
90,1365,446375,394.7,1,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,4,0
91,2564,448373,520.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
92,2540,447831,401.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,2332,445849,283.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,2983,447551,526.2,0,0,0,1,11,57,0,6,0,0,2,4,9,2,0,0,0,8
95,2182,446687,292.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,3986,445797,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
97,4261,445518,433.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
98,1572,443644,543.1,1,11,1,0,28,3,0,1,2,0,4,34,1,3,0,0,8,0
99,1550,443878,452.7,1,1,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,6
100,1989,445916,542.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
101,1203,443562,398.2,7,4,1,2,14,0,0,12,0,0,17,0,0,0,0,0,0,0
102,1222,445510,384.2,1,7,0,1,4,0,1,2,0,0,9,1,0,0,0,0,2,0
103,1696,447713,570.8,2,1,0,3,4,5,0,5,0,0,13,11,0,0,0,0,0,0
104,3432,446624,496.1,2,1,0,3,4,41,1,6,0,1,14,11,1,0,0,0,0,4
105,1169,446931,271.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2075,445297,354.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
107,4140,444972,279.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,3378,444739,411.9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
109,2199,448228,519.4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,4,0
110,3241,446411,251.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
111,2961,448015,381.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
112,4900,447703,324.3,0,0,0,1,4,17,0,0,0,0,1,2,0,0,0,0,0,3
113,1089,444686,481.6,0,0,0,1,13,0,0,7,0,5,17,0,0,0,1,0,0,0
114,2489,443563,391.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1275,448108,567.0,1,0,0,0,0,63,0,0,0,0,7,0,11,3,0,0,0,5
116,1375,444625,483.8,5,7,0,5,19,0,0,10,0,0,6,0,0,1,2,0,0,0
117,2671,445724,594.5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
118,1360,444944,511.4,3,0,0,3,27,1,0,30,0,1,9,1,0,0,0,0,6,0
119,865,446451,304.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2065,448038,597.9,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0
121,686,448059,509.7,4,0,0,1,8,3,1,9,0,1,19,1,0,1,0,0,2,0
122,3983,445635,377.5,3,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,11,1
123,2778,446533,226.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4006,443769,335.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
125,1560,444563,575.3,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0
126,1241,444869,189.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
127,4485,447165,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3019,448181,414.2,0,0,0,0,2,0,1,1,0,0,4,0,0,1,1,0,0,0
129,3701,447098,317.6,0,0,0,0,0,30,0,0,0,0,1,0,9,2,0,0,0,1
130,943,444803,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,231,444298,224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,3389,446832,470.2,0,0,0,0,0,51,2,0,0,1,0,1,15,4,0,0,0,12
133,3660,446946,363.5,1,0,0,0,4,0,0,4,0,1,4,3,0,0,2,0,0,0
134,1291,444631,447.0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0
135,1366,444088,483.8,1,2,0,0,0,25,0,0,0,1,0,0,0,2,0,0,0,6
136,2665,448035,232.0,2,1,0,0,5,0,0,0,0,1,2,0,0,0,1,0,0,0
