Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,ALD1AH1,KCNT2,HIGD1B,ALD1AH2,PDGFRB,CLDN5,CCL19,DCN,KCNJ8,VEGFC,IL1R1,TAGLN,MFSD2A,RARA,TMEM132C,ACKR1,RGS16,MECOM
7014,14366,465529,486.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7015,11275,463428,583.6,0,22,0,1,1,0,1,0,0,0,0,3,0,3,3,0,0,0
7016,10348,464031,512.1,0,6,0,0,1,1,0,0,0,0,0,1,1,5,1,0,2,0
7017,11893,464008,520.6,0,0,1,1,4,0,2,0,1,0,6,1,0,5,1,1,5,0
7018,10339,466889,429.5,0,1,0,0,0,0,2,0,0,1,0,0,0,7,0,0,3,1
7019,11459,463546,529.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7020,12192,464212,456.6,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4,0,0,0
7021,11612,463992,399.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
7022,10797,466624,518.2,0,0,2,4,3,68,0,1,0,2,9,8,7,2,0,2,0,1
7023,12115,464170,351.8,0,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0
7024,14307,466803,512.2,0,9,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0
7025,14715,465687,457.9,0,0,0,0,1,49,0,0,0,0,20,0,17,1,0,1,0,1
7026,11093,463311,473.6,0,8,0,1,5,0,0,1,0,0,0,0,0,0,5,0,0,0
7027,14098,467358,500.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7028,10385,466494,237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7029,10226,466447,756.8,0,0,0,1,1,0,1,0,0,0,0,0,0,6,1,1,0,0
7030,12841,465952,342.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7031,10454,464831,309.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7032,10085,463742,355.3,0,4,1,0,9,0,0,1,6,0,2,1,0,0,0,0,0,0
7033,9892,467407,346.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7034,12365,464174,287.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7035,12999,466556,240.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036,12298,465587,197.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7037,11712,465661,542.6,0,9,1,1,4,0,0,1,0,0,2,0,0,4,5,0,1,1
7038,12352,465590,176.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7039,10216,466698,146.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7040,11550,464021,313.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7041,11494,465376,296.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7042,12402,463522,266.9,1,0,0,0,1,17,0,0,1,0,2,0,3,0,0,0,0,0
7043,14655,465271,564.8,1,3,0,0,1,0,1,0,0,0,0,0,0,9,1,0,0,0
7044,10894,464489,258.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7045,11660,465205,291.9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7046,9870,464121,129.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7047,11504,465306,374.7,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0
7048,9889,466267,440.4,0,0,0,0,0,17,1,0,0,0,1,1,3,1,0,0,0,0
7049,10422,464672,139.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7050,10905,463418,139.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7051,12320,465560,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7052,11523,465240,364.8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
7053,11447,463662,126.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7054,10461,464908,142.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
7055,14237,464030,125.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7056,11524,464075,114.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7057,10602,468366,147.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7058,10487,468228,154.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7059,10687,468281,278.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7060,10684,468219,218.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7061,13408,468249,149.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7062,13762,469613,102.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7063,11607,468717,93.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7064,14024,468644,93.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7065,13936,468665,95.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7066,14579,468590,107.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7067,12925,394096,406.9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
7068,10648,393085,384.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7069,12829,392094,422.9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7070,10563,393124,396.4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7071,14735,393044,388.4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0
7072,11454,392579,394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7073,10750,392729,429.5,0,1,0,2,8,0,0,0,0,0,0,1,0,0,1,1,0,0
7074,11467,392684,402.7,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
7075,13002,392269,403.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7076,14477,393482,363.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7077,10652,392960,388.7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
7078,13620,394002,422.1,0,0,0,1,11,0,2,0,0,0,0,1,0,1,4,0,0,0
7079,13258,393236,363.0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7080,13352,392105,335.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7081,9982,392364,439.3,0,0,2,0,9,38,0,0,1,1,2,0,16,0,2,0,0,1
7082,13966,393650,347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7083,13397,393328,332.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7084,11214,393996,518.6,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0
7085,13763,393329,368.4,0,1,2,0,14,0,1,1,1,0,0,2,0,0,0,0,0,0
7086,14452,394192,411.6,0,0,0,5,10,0,0,0,0,0,1,0,0,0,2,0,0,0
7087,14644,392655,352.7,0,9,3,0,11,1,0,0,0,0,0,1,0,1,0,0,0,0
7088,14710,392525,332.4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7089,9942,392276,498.0,0,2,1,1,0,16,0,0,0,0,0,1,1,0,2,0,0,1
7090,10513,391908,458.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7091,12339,391890,398.8,0,2,0,0,0,0,2,0,0,0,0,1,0,1,5,0,0,1
7092,12728,392086,240.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7093,14317,392656,291.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7094,14405,392455,508.0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0
7095,11798,393804,410.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7096,14396,393592,402.7,0,3,2,0,25,25,0,1,2,0,0,1,13,0,0,0,0,0
7097,10535,393636,461.3,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3,2,1,0
7098,14317,393593,504.3,0,0,0,0,3,37,0,0,0,1,1,0,16,0,0,0,0,4
7099,12236,391734,333.0,0,3,2,0,14,5,0,1,0,1,2,2,0,0,0,0,0,4
7100,11016,394205,189.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7101,14249,393503,473.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7102,11628,393507,239.5,0,1,0,0,6,0,0,2,3,0,0,3,0,0,0,0,0,0
7103,14247,393980,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7104,13158,392004,381.3,0,0,0,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0
7105,14493,393272,446.1,0,0,0,0,0,24,1,0,0,0,1,0,16,0,3,0,0,1
7106,10933,393892,218.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7107,13610,393851,384.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7108,14755,392635,323.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7109,10505,391638,189.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7110,13301,392032,332.8,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7111,11134,392807,305.1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
7112,12941,394178,253.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,11217,393773,391.0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
7114,11798,393892,394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7115,10726,391603,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7116,11727,393823,453.8,0,0,0,2,1,27,1,0,0,1,10,0,5,0,0,0,0,3
7117,11950,393113,220.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,12588,393011,279.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7119,13853,393500,217.2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
7120,9987,392598,396.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7121,11077,392258,440.0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0
7122,12789,393486,436.7,0,3,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0
7123,13655,392754,552.7,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0
7124,14637,392503,274.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7125,10722,392295,142.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7126,14774,392236,209.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7127,11980,392977,506.9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7128,13210,393442,142.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7129,11897,392065,567.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7130,14735,394215,286.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7131,14205,393910,214.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7132,10588,393559,203.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7133,10449,393578,154.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7134,10497,392604,135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7135,13190,393472,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7136,10828,393891,169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7137,11556,391739,211.2,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0
7138,14381,393202,257.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7139,13855,393139,383.8,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
7140,11697,393671,359.3,0,1,1,0,1,16,0,0,0,1,7,0,9,0,1,0,0,1
7141,10778,392324,177.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7142,11442,391916,330.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7143,10743,392333,154.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7144,10397,393987,152.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7145,11813,392044,259.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7146,12854,394204,224.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7147,12189,393121,187.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7148,10434,393531,142.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7149,13251,392018,265.5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
7150,12196,391777,320.8,0,0,3,0,3,13,0,1,0,0,0,1,2,0,1,0,0,3
7151,13440,392413,579.1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7152,10444,394031,181.2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7153,11055,391682,418.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7154,13568,393785,162.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7155,10091,392515,182.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7156,13539,392930,591.8,1,0,0,1,0,1,4,1,0,0,2,1,0,0,0,0,0,0
7157,12913,393953,140.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7158,10928,393945,245.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
7159,12840,392310,227.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7160,12882,392260,156.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7161,10454,393986,197.2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7162,11730,392514,546.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7163,11886,391966,129.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7164,10650,391553,292.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7165,10839,394206,372.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
7166,14773,393095,133.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7167,10974,393929,218.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7168,12031,393082,396.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7169,11061,391737,395.8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
7170,12868,394235,83.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7171,12424,393872,195.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7172,14594,392969,163.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7173,10753,394173,332.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7174,12434,393839,121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7175,14300,393682,140.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7176,10479,394010,161.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7177,12889,394218,140.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7178,10653,394232,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7179,14312,394175,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7180,12429,393929,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7181,11157,393826,169.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7182,10499,393417,100.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7183,10227,395746,409.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7184,13803,397896,340.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7185,14144,397774,428.9,0,3,1,7,6,1,0,0,0,0,0,1,0,0,2,0,0,0
7186,10043,397537,395.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
7187,11028,395666,440.6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
7188,10594,397212,628.6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7189,10358,395546,405.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7190,10978,395432,389.3,0,0,0,1,6,0,1,0,0,0,1,1,0,1,4,0,0,0
7191,13883,394439,353.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7192,12216,395480,387.8,0,0,0,0,0,31,1,0,0,0,2,1,7,0,1,0,0,2
7193,14081,396613,346.2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0
7194,12389,397181,369.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
7195,12053,394737,416.7,0,0,0,0,13,0,0,0,0,0,1,2,1,0,5,0,1,0
7196,10275,395510,407.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7197,12985,398178,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7198,13890,399116,424.7,0,2,0,0,1,0,0,0,0,0,0,1,1,10,0,0,0,0
7199,12746,395679,560.5,0,1,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0
7200,11152,395226,571.1,0,8,0,0,3,0,4,0,0,0,1,3,0,1,0,0,0,0
7201,10732,395147,614.4,0,4,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0
7202,12483,398238,465.7,0,2,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0
7203,10404,394884,356.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7204,11565,394921,163.6,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0
7205,9905,394513,414.8,0,0,0,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0
7206,14664,396155,585.8,0,0,0,0,0,4,3,1,0,0,1,0,0,1,0,0,0,0
7207,13059,395506,414.7,0,0,0,2,12,0,1,1,1,0,1,1,0,0,3,0,0,0
7208,14632,394501,376.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0
7209,11119,395512,377.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0
7210,10077,398384,374.4,0,3,0,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0
7211,12339,398580,348.8,1,4,1,0,13,4,1,0,3,0,0,5,0,1,0,0,0,0
7212,10275,397284,373.3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
7213,10990,398812,391.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7214,12032,396242,431.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7215,13036,395887,529.7,0,0,0,0,0,2,2,3,0,0,0,0,0,4,0,0,0,0
7216,11178,394360,382.4,0,5,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0,0
7217,13004,398048,375.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7218,12516,399010,360.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7219,12273,398704,543.4,1,1,0,2,2,0,1,0,0,0,2,0,0,1,2,0,0,0
7220,10462,398552,347.0,0,2,0,0,11,0,0,1,2,0,0,1,0,1,0,0,0,0
7221,11297,397035,452.7,0,0,0,5,5,0,1,0,0,0,0,1,0,0,4,0,0,0
7222,12076,397585,444.3,0,1,0,0,0,0,2,0,0,0,0,4,0,1,0,0,1,1
7223,9948,398398,480.1,0,0,1,0,4,14,1,0,0,0,4,0,5,0,2,0,0,5
7224,12129,397740,366.4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
7225,12931,395871,456.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
7226,13967,395367,437.5,0,6,0,0,0,0,0,1,0,0,0,1,0,3,4,1,0,0
7227,14062,395330,499.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7228,14636,395979,319.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7229,13309,396917,397.0,0,0,0,0,6,0,0,0,0,1,1,1,0,0,3,0,0,0
7230,10392,398071,386.1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
7231,14588,398250,335.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7232,12174,398639,439.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7233,13845,396365,395.3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7234,14722,395041,395.3,0,0,0,1,10,0,1,0,0,0,0,1,1,3,3,0,0,0
7235,10390,398246,163.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
7236,13086,398089,486.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7237,13555,396051,210.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7238,13791,396299,230.9,0,0,0,0,0,8,0,0,0,0,3,0,2,0,0,0,0,0
7239,14630,396320,329.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7240,12527,396995,224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7241,10361,396409,252.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7242,11448,397937,408.1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
7243,14471,396344,173.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7244,12531,399129,360.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7245,12647,397916,265.7,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
7246,12686,398222,367.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7247,12443,394679,343.8,0,0,1,0,0,6,0,0,0,0,0,0,10,1,0,0,0,3
7248,10242,396177,271.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7249,10593,396847,565.7,0,2,0,0,2,1,2,2,2,1,0,1,0,2,1,0,1,0
7250,13927,397366,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7251,12937,395386,362.8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
7252,10325,394781,399.6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
7253,11933,399034,328.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7254,12193,394865,265.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7255,14278,396809,355.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0
7256,13891,397088,419.1,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0
7257,11494,396357,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7258,9992,397482,285.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7259,10941,399032,234.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7260,11203,395506,395.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
7261,14302,398724,159.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7262,10329,396534,528.4,0,0,0,0,0,45,1,0,0,0,1,0,23,0,2,0,0,6
7263,11288,395517,404.2,0,4,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0
7264,14155,398075,197.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7265,10286,398347,529.9,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1
7266,14483,398114,391.4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7267,11881,395797,429.9,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
7268,11232,394917,411.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
7269,10231,394795,478.9,0,2,1,0,22,14,0,0,0,0,1,3,1,0,0,0,1,1
7270,13489,395364,163.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7271,11750,396744,232.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7272,9882,395034,246.0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7273,10617,394691,225.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7274,10241,398902,186.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7275,14423,398248,244.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7276,10432,398674,272.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
7277,13417,394693,345.0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0
7278,9909,397517,436.1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7279,11860,398968,294.9,0,0,0,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0
7280,13680,395775,334.2,0,0,0,0,4,0,0,1,0,0,0,2,0,0,2,0,0,0
7281,13756,397812,370.2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
7282,13442,399014,287.7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
7283,10894,396720,157.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7284,11665,398306,230.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7285,13694,397856,292.5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1
7286,11220,397396,196.6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7287,11522,395633,161.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7288,10680,396038,168.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
7289,12172,397644,531.9,1,4,0,0,2,1,0,0,1,0,0,1,0,3,1,0,0,1
7290,14696,398120,414.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7291,10094,395763,526.2,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
7292,12644,398299,304.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7293,13991,394365,301.8,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
7294,9962,399141,274.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7295,9959,395063,189.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
